0.13333 45.00000  2.37666 0.00728 0.53787
0.13333 105.00000  2.28076 0.01608 0.58572
0.13333 120.00000  2.28774 0.01181 0.59019
0.13333 140.00000  2.28775 0.00579 0.59900
0.13333 140.00000  2.28775 0.00579 0.59900
0.13333 140.00000  2.28775 0.00579 0.59900
0.13333 90.00000  2.27288 0.01856 0.58293
0.13333 120.00000  2.28774 0.01181 0.59019
0.13333 60.00000  2.41393 0.00987 0.51803
0.10000 30.00000  2.27289 0.00340 0.59775
0.10000 60.00000  2.24123 0.01125 0.60454
0.10000 90.00000  2.31678 0.01186 0.56829
0.10000 120.00000  2.28775 0.00879 0.59274
0.10000 150.00000  2.28249 0.00258 0.60403
0.10000 30.00000  2.27289 0.00340 0.59775
0.10000 60.00000  2.24123 0.01125 0.60454
0.10000 90.00000  2.31678 0.01186 0.56829
0.10000 120.00000  2.28775 0.00879 0.59274
0.10000 150.00000  2.28249 0.00258 0.60403
0.13333 30.00000  2.27289 0.00484 0.59360
0.13333 60.00000  2.63037 0.00571 0.43940
0.13333 90.00000  2.27288 0.01856 0.58293
0.13333 120.00000  2.28774 0.01181 0.59019
0.13333 150.00000  2.28775 0.00330 0.60154
0.16667 15.00000  2.28775 0.00165 0.59215
0.16667 30.00000  2.66886 0.00225 0.43166
0.16667 60.00000  3.02424 0.00306 0.33306
0.16667 90.00000  2.27288 0.02407 0.57593
0.16667 120.00000  2.65996 0.00597 0.43709
0.16667 150.00000  2.28775 0.00401 0.60182
0.16667 165.00000  2.28775 0.00098 0.60298
0.13333 60.00000  2.41393 0.00987 0.51803
0.13333 60.00000  2.63474 0.00565 0.43800
0.10000 30.00000  2.27289 0.00340 0.59775
0.10000 30.00000  2.27289 0.00340 0.59775
0.10000 60.00000  2.24123 0.01125 0.60454
0.10000 90.00000  2.31678 0.01186 0.56829
0.10000 120.00000  2.28775 0.00879 0.59274
0.10000 150.00000  2.28249 0.00258 0.60403
0.13333 30.00000  2.27289 0.00484 0.59360
0.13333 60.00000  2.63037 0.00571 0.43940
0.13333 90.00000  2.27288 0.01856 0.58293
0.13333 120.00000  2.28774 0.01181 0.59019
0.13333 150.00000  2.28775 0.00330 0.60154
0.16667 15.00000  2.28775 0.00165 0.59215
0.16667 30.00000  2.66886 0.00225 0.43166
0.16667 60.00000  3.02424 0.00306 0.33306
0.16667 90.00000  2.27288 0.02407 0.57593
0.16667 120.00000  2.65996 0.00597 0.43709
0.16667 150.00000  2.28775 0.00401 0.60182
0.16667 165.00000  2.28775 0.00098 0.60298
