rpa,phi_deg,F_me_un,F_me_bo,F_ad,cost
3.0,20,0.059752043550318,0.7681281966344473,-3.41030195093239,2.8858887360288866e-13
3.0,30,0.22853936962054766,1.734324574925401,-7.576084930292393,3.986070518442142e-15
4.0,30,0.3411680688537101,1.7737969106810405,-13.468595431630924,2.7721230413158435e-16
4.0,40,0.8357974351787464,3.215101371642591,-23.51977788044569,4.902543142925514e-18
4.0,50,1.6128282925514934,5.130254318210147,-35.910906277760574,5.887367010370984e-18
4.0,60,2.6629898125498066,7.539822368615501,-50.26548245743669,2.042327364618276e-17
4.0,70,3.925301510649151,10.444599925622107,-66.14734988602062,1.9780893459082948e-17
5.0,30,0.4608890668857912,1.8245470566525763,-21.044680361923312,5.203431531306032e-17
5.0,40,1.1207011735559191,3.3698615109727115,-36.749652938196384,1.0146336560535466e-17
5.0,50,2.153754101015234,5.491036774548314,-56.11079105900089,1.6913313958315336e-17
5.0,60,3.5503626602543727,8.246680715673204,-78.53981633974482,9.411390542062485e-19
5.0,70,5.235726231810428,11.66870184492372,-103.3552341969072,9.083347066548152e-19
