sigma,rpa,deg,u0,omega,psi1,u1,cost,success
0.1,3.0,20,-1.14793511289182,15.0299741069518,4.233335938967591e-07,-6.14250443434344e-07,2.8858887360288866e-13,True
0.1,3.0,30,-1.2172961534905151,18.969247902486817,5.003634963509089e-08,-6.722324367593044e-08,3.954986543712003e-15,True
0.1,4.0,20,-1.14793511289182,15.0299741069518,4.233335938967591e-07,-6.14250443434344e-07,2.8858887360288866e-13,True
0.1,4.0,30,-0.976713289115096,21.35257170774612,1.172050330254986e-08,-1.4671150068157616e-08,2.211710815855717e-16,True
0.1,4.0,40,-1.05418974265633,25.0615124710872,-7.334959641888689e-10,-3.1881312007407313e-09,4.902543142925514e-18,True
0.1,4.0,50,-1.12602458142746,25.2180312776717,-1.656698120042329e-09,-4.383622649572279e-09,5.887367010370984e-18,True
0.1,4.0,60,-1.18810253962005,24.6650066577602,4.210125932378779e-10,-5.825707242601996e-09,2.042327364618276e-17,True
0.1,4.0,70,-1.23655462478773,24.9763558958144,-1.165327720523128e-09,-6.7707223991722634e-09,1.9780893459082948e-17,True
0.1,5.0,30,-0.8365958093701227,22.702941124739347,5.142049149995213e-09,-6.724482996837883e-09,4.9410653952618416e-17,True
0.1,5.0,40,-0.920261705642412,24.5667782296878,5.43745766870075e-10,-3.9386472430370324e-09,1.0146336560535466e-17,True
0.1,5.0,50,-0.9985580063634186,24.667397538520337,2.993798313568853e-10,-5.333841833842171e-09,1.6837174865596258e-17,True
0.1,5.0,60,-1.06773409131963,27.6706551589767,5.993625907644906e-09,3.2162488692355437e-09,9.411390542062485e-19,True
0.1,5.0,70,-1.1242865705672265,27.987434549919296,5.491867591274151e-09,2.919884357470392e-09,8.82959198077079e-19,True
0.1,4.0,120,-1.07577502332824,12.6596261647356,3.323360377021488e-05,-4.944840347717672e-05,1.79150764034773e-09,True
0.1,4.0,125,-0.994066048479845,21.3627703186402,5.760327866366473e-08,-7.235866931336088e-08,5.307168419109712e-15,True
0.1,4.0,130,-0.8959004843844203,25.298131288634448,-2.52547055622717e-09,-7.701838064286836e-09,1.9573469193633388e-17,True
0.1,4.0,135,-0.786736892487382,25.0299430908884,-7.4827079502897e-10,-6.912860091260733e-09,2.2519138980521884e-17,True
0.1,4.0,140,-0.681579015180109,25.0404646656864,-6.229270159759413e-10,-5.7357356279207e-09,1.5725262445095458e-17,True
0.1,4.0,145,-0.602741998406602,24.6945239452531,6.397783234495173e-10,-4.8631659805803935e-09,1.7708506866934884e-16,True
0.1,4.0,150,-0.5655967662084967,24.93908571463635,-1.0795771501515598e-10,-3.433365152905723e-09,6.059137432930393e-18,True
0.1,4.0,155,-0.566663705027123,25.2672409060968,-6.60346258271759e-10,-2.363545965888873e-09,2.2785438508875225e-18,True
0.1,4.0,160,-0.566237432425683,25.263219228033,-6.57267430089921e-10,-2.362825944358816e-09,0.634176690473419,True
0.1,4.0,165,-0.643619645792549,25.2116505013474,-2.0179660312895446e-10,-8.07894753039828e-10,7.776619509274504e-14,True
0.1,4.0,170,-0.69994442566077,24.228306557636,1.6401540070665228e-10,-4.339640806517683e-10,2.7944681144949047e-16,True
0.1,4.0,175,-0.702616607714001,24.1106146538883,9.38247781864196e-05,6.446342932264563e-05,0.0116956457949743,True
0.1,3.0,120,-1.07577502332824,12.6596261647356,3.323360377021488e-05,-4.944840347717672e-05,1.79150764034773e-09,True
0.1,5.0,120,-1.07577502332824,12.6596261647356,3.323360377021488e-05,-4.944840347717672e-05,1.79150764034773e-09,True
0.1,3.0,125,-0.846430155981251,11.4973189452478,-1.51903464494137,0.0005528702669657,1.15568311017286,True
0.1,3.0,130,1.3243984867901967e-05,3.015825595302115,0.036270190686151,-0.0544405231919498,0.0040820466812917,True
0.1,3.0,135,0.0185906240875189,9.42445875251985,-0.0918913099784821,0.129478373569446,0.0130227665063713,True
0.1,3.0,140,-0.0037508419850167,9.36871645362403,-0.0919238551028286,0.129283961774472,0.0130581488414586,True
0.1,3.0,145,-0.0377447384398192,9.23971236165856,-0.0928231253324899,0.129980140614553,0.013287022597467,True
0.1,3.0,150,-0.8603899920396638,18.49157776648016,1.1483366177800616e-07,-1.5653183882410817e-07,2.0757960775847123e-14,True
0.1,3.0,155,-0.0951840388431453,9.1181431585494,-0.0941942003299499,0.131320310231578,0.0650934955215266,True
0.1,3.0,160,-0.236393330086253,8.89212805881321,-0.0981077855623287,0.135580409871689,0.0147547230903219,True
0.1,3.0,165,-0.36177468726624,8.96522484664904,-0.0967601701694688,0.133784512900724,0.0163143888255388,True
0.1,5.0,125,-0.950363403993017,31.6227420433394,0.861301259324864,-0.005658455165154,0.374845582087926,True
0.1,5.0,130,-0.848882123754717,30.8740696614961,0.885617840877452,0.10780287393782,0.403493223638907,True
0.1,5.0,135,-0.722329403775153,31.6202002815253,0.868808189224484,-0.0085494691679414,0.381288437995939,True
0.1,5.0,140,-0.578054617556705,30.4074003096183,0.884771426853736,0.0065220616906299,0.397358607290381,True
0.1,5.0,145,-0.44426387235572,31.0363645049581,0.875320377401226,0.0039569221131984,0.400899464446388,True
0.1,5.0,150,-0.381544573145729,31.5990895276138,0.87195040257962,-0.01165060485293,0.382698448066624,True
0.1,5.0,155,-0.378098999296305,31.6002288297403,0.871997821989116,0.0017654056430539,0.398107071210392,True
0.1,5.0,160,-0.410655189171341,31.5794872234984,0.846412282192869,-0.0001529944749117,0.426347343223713,True
0.1,5.0,165,-0.425872847681949,22.3631842041845,1.05292377938439,0.0635713006775649,0.65677236178901,True
0.1,5.0,170,-0.526979795544393,31.3277876805082,0.866204297017064,0.0192856627155632,0.388529294205477,True
0.1,5.0,175,-0.5205236337418153,17.865556803290925,8.325293426272809e-05,5.612568256396379e-05,0.1280210876732383,True
0.15,2.0,0,-7.0451505601166595e-40,2.5819888974716103,-6.484407823365348e-32,-3.3314826348402725e-32,2.465190328815662e-32,True
