sigma,rpa,phi_deg,F_me_un,F_me_bo,F_ad,cost
0.175,2.0,100,4.213035752132143,17.777668830741202,-29.496995942859808,3.648348157550506e-12
0.175,2.0,110,4.421923094200494,20.824968078558307,-33.72864498593153,3.559304694675608e-12
0.175,2.0,120,4.21650225802911,23.79756435094268,-37.6991118430775,2.2337911420578906e-12
0.175,2.0,10,0.0044278025241801,0.1914189714295067,-0.3818228122269515,2.218568987481313e-11
0.175,2.0,70,0.0618335349355987,9.220498006320495,-16.536837471505148,1.2642795927623087
0.175,2.0,150,1.4730053903544025,31.10659646530384,-46.89833359952896,3.819689048534829e-13
0.175,3.0,30,0.3375121085433056,1.772387184404053,-7.5760849302923905,2.6426853120355108e-17
0.175,3.0,50,1.596189123524416,5.120232583311864,-20.19988478124032,4.37753400536761e-17
0.175,3.0,70,3.884905247687172,10.410597094530395,-37.20788431088658,4.6344727649558755e-16
0.175,4.0,10,0.0128449779014785,0.1929416673775996,-1.527291248907806,3.4488730538586905e-11
0.175,4.0,30,0.4967820670316296,1.8414637719764213,-13.468595431630918,2.740228644853964e-18
0.175,4.0,50,2.314625238167908,5.611297593327703,-35.91090627776056,4.230483753812032e-19
0.175,5.0,30,0.6638784561642854,1.93027652742661,-21.04468036192331,5.683052849489302e-16
0.175,5.0,50,3.0575226637316497,6.242666891919496,-56.11079105900088,2.636135172542135e-11
0.175,2.0,130,3.555414201082588,26.578741651897552,-41.28775588799654,1.5535246573780293e-12
0.175,3.0,10,0.0083265307808453,0.1920534280745454,-0.8591013275106408,3.0922341306099924e-20
0.175,3.0,110,8.155269355559215,25.77577506054898,-75.88945121834594,1.946726941523538e-07
0.175,3.0,130,7.155501475568509,33.99732128677165,-92.8974507479922,6.829672103134405e-07
0.175,4.0,70,5.624474631654358,12.076735818024256,-66.14734988602059,3.214677976929373e-16
0.175,4.0,110,12.215066518036052,32.70690483533592,-134.91457994372612,7.768611283458644e-13
0.175,5.0,10,0.0178189817105265,0.1940836893386692,-2.386392576418447,2.581125778784138e-19
0.175,5.0,70,7.414902518584603,14.21891417680208,-103.35523419690716,9.881495431434551e-14
