rpa,deg,u0,omega,cost,success,psi1,u1
3.0,160,-0.2826153714858888,57.29900790657918,9.247321053084258e-16,True,1.2082011801657542e-08,-3.9246663739713935e-08
3.0,80,-0.4612806680449139,87.81547595511798,9.516317703929005e-13,True,2.172062718536386e-07,4.715476098400772e-08
5.0,160,-0.128492255379129,108.466503621715,1.2333710524889252e-16,True,2.32888310469563e-10,4.934022294016813e-11
5.0,150,-0.120498208406674,108.482191753748,1.2369806305012193e-15,True,4.698538962738611e-10,9.944644202166976e-11
5.0,80,-0.368207011390329,76.9619874016491,1.3053832049986085e-17,True,5.208686949179851e-10,-4.0097727250230535e-09
4.0,160,-0.1884736216901491,95.33954310788414,9.989040589355732e-15,True,3.5531863459682233e-10,6.79716143227528e-11
4.0,70,-0.3910328513467506,84.56381283344787,1.5508133722051033e-19,True,2.0128685018851887e-10,-4.882893231064271e-10
4.0,130,-0.2832529937727783,56.46243322218267,9.354338405095589e-14,True,1.1893499990561686e-07,-4.004018748332165e-07
5.0,110,-0.3565566610436659,96.21230402294972,3.198015181667506e-18,True,2.820530555767353e-09,5.39386007693775e-10
4.0,150,-0.17884986855041,96.9767427312707,1.8579973341056322e-17,True,6.89731124964562e-10,1.3447203983652643e-10
5.0,70,-0.3555306089602926,84.32033232789811,2.310129779237417e-19,True,2.4269892439872367e-10,-6.003028145729123e-10
3.0,170,-0.310429123268056,78.9308391349059,3.309831401964728e-06,True,4.270695390238649e-09,6.1893861371498764e-09
3.0,70,-0.455366123929038,89.5516999311251,3.3102899460478085e-14,True,-1.567497909618746e-07,-3.4383810952754e-08
5.0,130,-0.268261963554448,107.646867393232,3.347030141535453e-16,True,1.150225843173795e-09,2.424932603866107e-10
4.0,120,-0.340155904722128,98.46243117694344,1.0686456506582115e-16,True,1.846663230233289e-09,3.638527694696398e-10
3.0,110,-0.4242752424006439,65.72456675764488,1.0951144455674948e-15,True,1.9378080306293707e-08,-3.951011059570572e-08
5.0,140,-0.18234926974201,84.79744458024649,1.6777516817595004e-15,True,2.594700590378566e-10,-6.007830264118592e-10
3.0,140,-0.2916778325111775,76.5651094507069,1.3225615290070944e-15,True,5.716640939947754e-10,-1.916547789643982e-09
4.0,50,-0.3560792878643832,55.581954131470766,3.3399010277615245e-14,True,6.989055538227473e-08,-2.3926630355833535e-07
3.0,150,-0.272104096439861,87.881190561896,5.95420356862281e-15,True,-1.5437864584107937e-08,-3.477003037589434e-09
3.0,120,-0.386680188767971,83.2841611160362,5.977100644689103e-14,True,4.162195847364148e-08,8.337186817350526e-09
5.0,105,-0.365695307197974,93.9211765304565,7.544968627475907e-18,True,3.5103393285845805e-09,6.498007101187167e-10
5.0,120,-0.324881481656347,94.5686985674382,7.665626206877307e-19,True,3.635915604482209e-09,6.832238124252044e-10
4.0,140,-0.2155466167412788,94.1216962397002,1.3168203197813035e-14,True,1.8882942063203667e-09,3.5717866007296827e-10
4.0,110,-0.376487053420993,113.272111436104,9.38774025228866e-15,True,6.90137930243266e-10,1.4835593198153792e-10
3.0,130,-0.337424105104307,84.0428762212005,9.647739855186271e-15,True,9.255324276937276e-09,1.4942828960739721e-09
4.0,80,-0.4007112994025193,81.57554452614583,1.9111937596854478e-16,True,5.8330088280152875e-09,6.079647497717373e-11
5.0,30,-0.264554647931346,76.0066185069432,1.0935576099893266e-18,True,4.96809433437097e-10,-1.1243112077006623e-09
5.0,60,-0.337647137401376,80.0786011408809,1.5757374072950524e-18,True,-2.7196157148539114e-09,-1.986216976159206e-09
3.0,10,-0.343767784180322,78.6124747052662,3.4381140820786406e-20,True,6.618789202838714e-12,-6.475365197248453e-11
5.0,50,-0.3157717562113183,78.72647540630155,1.6597478575537816e-18,True,-7.487890954547786e-10,-1.6250086768138687e-09
4.0,10,-0.262348634827129,78.2585013631735,1.490348134059432e-20,True,3.4273339708065774e-11,-8.574078949692837e-11
5.0,10,-0.213966085171632,75.7187175240842,2.87588986219104e-20,True,8.438336757719003e-11,-1.8136555647813643e-10
5.0,20,-0.237967766012235,75.9498651789097,3.3038684304846423e-19,True,2.650909539305632e-10,-5.99508175191126e-10
4.0,20,-0.284266851187229,85.2083424783438,3.7667452630687727e-20,True,3.0137258391443314e-11,-7.020599171034232e-11
3.0,60,-0.4433791253808263,76.43212916231525,3.462012687792288e-18,True,7.22715862242037e-10,-2.027564022221389e-09
3.0,40,-0.4067853824208296,78.81778845203958,2.0749602854883552e-18,True,-4.4614596322560807e-10,-8.14460084797852e-10
4.0,30,-0.308863788612506,95.6166756207855,5.2611361925884485e-19,True,4.150671957092798e-10,7.873063749468033e-11
3.0,20,-0.36300907985939,78.6908705905791,5.2277249774059305e-20,True,-9.685089311336779e-11,-2.6318486977970324e-10
5.0,40,-0.291012341806004,69.5227483707007,4.4640197737770674e-17,True,4.759455624325745e-09,-7.4403414588000615e-09
4.0,40,-0.3333636410757729,52.12573877009161,8.139808729879478e-14,True,9.880352325063813e-08,-3.802967334182493e-07
4.0,60,-0.3757109602757164,70.42577014910916,7.336007188519823e-17,True,6.23459097875173e-09,-9.393976691490502e-09
3.0,50,-0.4267407729023237,78.78564092505589,8.2138697665413905e-19,True,-3.7885241176332115e-10,-1.0826450169814502e-09
3.0,30,-0.3849427422305781,71.81746291818513,2.99815490540344e-18,True,1.2446262237296895e-09,-1.8679624589488077e-09
3.0,15,-0.3528056607348067,73.15497308151454,1.5523587802348676e-19,True,2.7217687828399505e-10,-4.20013622745205e-10
3.0,25,-0.3738478956812944,73.14784825032092,9.32173344483702e-19,True,6.789751185590504e-10,-1.0338113824655515e-09
3.0,35,-0.396000922103159,79.3042183772314,2.5087941834580604e-19,True,-3.9160490177881637e-10,-6.148291101968814e-10
3.0,45,-0.4170935217723244,83.78097984958521,6.741863316315118e-17,True,1.1021996861930975e-10,-2.782245238276608e-10
3.0,55,-0.435557731629826,83.2165940367994,2.289313069628597e-13,True,-4.851933642353692e-08,-1.1015156745173268e-08
3.0,65,-0.450038880601817,87.6746282439635,5.031175347077133e-14,True,-1.0686509061145444e-07,-2.3535432384334623e-08
3.0,75,-0.45917888283375,61.78526424657729,3.866831307713536e-15,True,3.052732286560382e-08,-7.751257615994679e-08
3.0,105,-0.4377340191364761,89.03344054727044,1.2039403069294088e-10,True,-2.3222825750038724e-08,-5.288524235495182e-09
3.0,115,-0.407257122700158,90.1725400689748,9.496852571455558e-15,True,-7.41357692497876e-08,-1.6347964916015625e-08
3.0,125,-0.3629988378210125,76.60764646888917,8.714485858205717e-17,True,8.74025547294762e-10,-2.944553913440914e-09
3.0,135,-0.3125483199257517,83.91441957154998,3.779007347953116e-15,True,4.843740983211879e-09,5.813319577509089e-10
3.0,145,-0.2777770535543301,67.58677624598059,2.7073627016071288e-15,True,5.893568785897809e-09,-1.1072798943400084e-08
3.0,155,-0.274273395671181,93.6760811447754,1.6701581647834436e-11,True,5.107585834872416e-10,9.608557393345228e-11
3.0,165,-0.287703422154315,40.7202044115058,0.0005244290785552,True,-3.847632819555284e-05,3.0257420576594688e-05
3.0,175,-0.315997381603698,70.2819944702788,0.0063335601968068,True,1.524522147989451e-05,3.10493803370508e-06
4.0,15,-0.2727151939843699,94.1528808059278,5.273517459839926e-16,True,1.6925631782643852e-08,3.6942702661073005e-09
4.0,25,-0.2964434628347986,86.0891857611963,2.9439567090532373e-14,True,1.7532782061466907e-08,3.731788129609183e-09
4.0,35,-0.321244755743667,107.009161663063,9.684654306169769e-19,True,2.910057246196773e-10,6.121212555588112e-11
4.0,45,-0.3450303519431791,77.95125936958077,2.502960822712818e-17,True,1.2378897635256286e-10,-1.24624845190336e-09
4.0,55,-0.366357215889631,89.3010419991237,2.341664409270849e-14,True,-1.0739427489183273e-07,-2.360263502838013e-08
4.0,65,-0.383989287044615,83.6607760019929,1.887196328810492e-19,True,2.1430534568042926e-10,-5.475344856028477e-10
4.0,75,-0.3966701579010829,79.83277584776386,2.2752499367812882e-18,True,-2.496895037964008e-09,-2.2157475524449155e-09
4.0,105,-0.388075302808673,76.0703313171443,1.753032839036386e-16,True,2.035120470120729e-09,-4.8672939247325564e-09
4.0,115,-0.3607285919292493,82.52496871972997,6.784514092061688e-14,True,-5.0910982187646464e-08,-1.2309896815815585e-08
4.0,125,-0.3143804825325919,94.3674900906904,1.4953971388138764e-19,True,2.938199683527194e-09,5.535092058851462e-10
4.0,135,-0.24878026489494,103.714573079125,6.185634646850121e-17,True,1.0722939203959072e-09,2.2123755561307928e-10
4.0,145,-0.19064306400248,96.8157731737691,1.0412061502464328e-16,True,9.6101683806445e-10,1.8694001544773078e-10
4.0,155,-0.1790610004945387,58.64808929791669,2.5200804420727826e-15,True,2.1027209718293985e-08,-6.450767340276597e-08
4.0,165,-0.203433170526937,108.188888496415,1.0539150349453066e-07,True,1.0873920970283568e-10,2.297090179553211e-11
4.0,175,-0.257421664384529,18.5296062003508,0.0002926274326252,True,0.0009300201894204,-0.0014051202280173
5.0,15,-0.2253822582211347,67.29771263647773,4.39509298103832e-18,True,1.333341480351107e-09,-2.439039197098453e-09
5.0,25,-0.251150261563911,88.2454502418554,4.1167694636498055e-15,True,-2.6355524336916293e-08,-5.823213675414948e-09
5.0,35,-0.277912353567348,96.1624573026803,6.014983257914934e-17,True,5.713356900274052e-10,1.0891063474519724e-10
5.0,45,-0.303682228371543,80.2501968369488,8.330073207151211e-14,True,7.352898222032012e-08,1.512856496356038e-08
5.0,55,-0.327138619317041,75.9509522421289,7.218470735807904e-18,True,1.3328991764232544e-09,-2.86246797499495e-09
