rpa,deg,u0,omega,psi1,u1,cost,success
3.0,30.0,-0.402780703028111,69.4550468607722,4.330660945572867e-20,7.200552850119607e-11,-1.6274292157697432e-10,True
3.0,30.0,-0.4027806477987888,44.98966652494676,4.261375074421797e-08,-1.3197429006138504e-07,1.0309647672139368e-14,True
3.0,40.0,-0.4318400428305742,44.81168552000927,7.184140976269299e-08,-2.235321912666722e-07,2.953480745887653e-14,True
3.0,50.0,-0.4586748315669801,60.00838386033067,2.516797207793289e-09,-4.028205793251663e-09,1.4754569429651654e-17,True
3.0,60.0,-0.4816408055324858,54.9949871941833,1.1999958728046272e-08,-2.182803572155649e-08,3.6480644783630206e-16,True
3.0,70.0,-0.4991927819460569,53.738871298007545,1.9643468284999365e-08,-3.867201634215113e-08,1.0932645799448741e-15,True
4.0,30.0,-0.402780703028111,69.4550468607722,4.330660945572867e-20,7.200552850119607e-11,-1.6274292157697432e-10,True
4.0,40.0,-0.3606177694929596,65.4692758419254,-1.498724438194701e-09,-1.3254173134928063e-09,1.0384095882329777e-18,True
4.0,50.0,-0.3907196605993894,59.175639355887256,4.097881679164419e-09,-6.239220390133758e-09,3.991348076032317e-17,True
4.0,60.0,-0.417266508638997,61.46126157770155,2.3095603296856363e-09,-4.414159445848349e-09,1.7677076707366874e-17,True
4.0,70.0,-0.4388877965207923,69.1411093137127,3.38040330822846e-10,-6.40699201751577e-10,3.445758848291612e-19,True
5.0,40.0,-0.3606177694929596,65.4692758419254,-1.498724438194701e-09,-1.3254173134928063e-09,1.0384095882329777e-18,True
5.0,50.0,-0.3521971660560075,60.35459137162552,3.359460379450568e-09,-5.2664936565450865e-09,2.57768223239766e-17,True
5.0,60.0,-0.417266508638997,61.46126157770155,2.3095603296856363e-09,-4.414159445848349e-09,1.7677076707366874e-17,True
5.0,70.0,-0.4388877965207923,69.1411093137127,3.38040330822846e-10,-6.40699201751577e-10,3.445758848291612e-19,True
3.0,20.0,-0.373609696896334,66.32949247021796,2.1513035846674546e-07,5.718401970730424e-08,1.0671539088866854e-12,True
3.0,10.0,-0.3477392530760391,64.96525345020427,2.387753155276336e-10,-1.5296642567711427e-11,2.489660874616293e-18,True
4.0,20.0,-0.2960821839308417,69.79464567070228,-9.943038493937133e-09,-2.761051567624193e-09,4.5144856733005464e-14,True
4.0,10.0,-0.266918227327421,69.93639279940105,-1.2772725970848124e-08,-3.439924354392382e-09,1.7451719493665182e-14,True
5.0,30.0,-0.2853316506415089,71.31938437740284,7.539608782060496e-07,2.0107982089822842e-07,1.4284810269094082e-10,True
5.0,20.0,-0.2506794721354938,65.02617346169836,-2.1495957260819143e-10,-4.959450956581455e-10,4.229088589599175e-19,True
5.0,10.0,-0.21901129329572097,64.65350841338618,1.0443753840751553e-10,-1.0737084577677205e-10,1.4423688732909765e-19,True
