rpa,deg,u0,omega,psi1,u1,cost,success
3.0,50.0,-0.4870033909192922,66.942892929133,1.070435720916733e-09,2.816061821685241e-10,1.7884269001658692e-19,True
3.0,60.0,-0.5156185443556968,56.93289129186783,-1.2309012030250863e-06,-3.808585494576388e-07,2.9866880965491925e-12,True
3.0,70.0,-0.4991927819460569,53.738871298007545,1.9643468284999365e-08,-3.867201634215113e-08,0.1093264579944874,True
4.0,40.0,-0.3845811403519956,54.71833870956149,2.657966205473817e-10,-2.117210334385282e-09,3.579399409283941e-18,True
4.0,50.0,-0.421106051503904,49.829470164306535,7.89398497440625e-09,-1.2431744013762257e-08,1.350643518974484e-16,True
4.0,60.0,-0.4537108400120609,59.98754079051404,-6.623288203115149e-08,-2.1179208933437813e-08,8.82169930862427e-14,True
4.0,70.0,-0.4388877965207923,69.1411093137127,3.38040330822846e-10,-6.40699201751577e-10,0.3445758848291612,True
5.0,40.0,-0.3448479838034899,60.672956254774896,-3.250696334955123e-08,-1.0435268060866242e-08,1.6951832188574143e-14,True
5.0,50.0,-0.3838974757320726,59.45286906147978,3.1531436444312327e-10,-6.883268340856112e-10,3.013832178673102e-19,True
5.0,70.0,-0.4388877965207923,69.1411093137127,3.38040330822846e-10,-6.40699201751577e-10,0.3445758848291612,True
4.0,20.0,-0.3066290056109926,55.91928263971143,-2.318575138679319e-10,-6.087402770667507e-10,2.2361849070733017e-19,True
5.0,30.0,-0.303557885472377,44.24925859442115,1.9191243648447083e-08,-4.207947062798227e-08,1.2241512057776372e-15,True
5.0,20.0,-0.2619427858068859,54.23037927906169,2.7229486419643385e-10,-9.484331891786683e-10,7.6120220342162735e-19,True
3.0,40.0,-0.4540990681364073,66.61056554082276,8.143314612939601e-10,2.1304333985830648e-10,6.310126847413795e-17,True
3.0,30.0,-0.4187033593820942,59.50246036070338,1.1329887721569102e-10,-2.5298822176886836e-10,4.333378386688216e-20,True
3.0,20.0,-0.3831625060936172,56.9305465562834,1.7667191413970817e-07,5.409972286254383e-08,2.5880152005949197e-13,True
3.0,10.0,-0.3513854473165601,55.77028850284263,-4.727158711758e-11,-1.3582814333360712e-10,3.3414511401408084e-19,True
4.0,30.0,-0.3457171029081831,58.54109515561645,2.650856111790658e-07,8.126266566719829e-08,3.149133475470979e-13,True
4.0,10.0,-0.2710786177114579,54.21677626946865,6.725761527665703e-11,-2.340553207924001e-10,1.9866785056920362e-19,True
5.0,10.0,-0.2235730476006762,55.30189374993486,-1.9536819435040518e-11,-2.2523473425462908e-10,3.695895186151248e-20,True
5.0,60.0,-0.4193011114274251,60.183516921865696,2.2136347627089533e-07,6.753775066380476e-08,7.690451209271491e-14,True
5.0,110.0,-0.4866531750830339,61.5976930720235,-5.980052049358886e-08,-1.9470806860977645e-08,2.006257554883173e-14,True
5.0,120.0,-0.4572751716225914,65.60746350514036,5.9832070730264405e-09,1.536621711108018e-09,3.158462226764085e-18,True
5.0,130.0,-0.3944035272288181,64.12162075066756,8.720586097230428e-09,2.224589355055338e-09,4.96285812516748e-17,True
5.0,132.0,-0.3756890330918178,56.3293309977352,-3.9244925172196115e-09,-6.534271293821161e-09,2.8569516181592906e-17,True
5.0,134.0,-0.3541301671747346,61.249998897923,-4.576104826027861e-08,-1.5206307907140893e-08,8.120512318596963e-14,True
5.0,136.0,-0.3292890723913744,64.15974323913416,8.708242536028032e-09,2.249411531112915e-09,5.5572685566491765e-19,True
5.0,138.0,-0.3005373010646038,68.03624939121427,4.097278749693611e-09,1.114120208346578e-09,1.2880664820421012e-16,True
5.0,140.0,-0.2671629551657801,73.19632439904524,2.007597097862729e-09,5.842450956614585e-10,1.7018151000806293e-18,True
5.0,142.0,-0.2283357166827609,73.75575527557388,1.756357042732251e-09,5.13897832884127e-10,2.5561074736518923e-19,True
5.0,144.0,-0.1838008012980496,73.30326412678981,2.8240512232807245e-08,8.647420366504995e-09,8.28215537447997e-10,True
5.0,146.0,-0.1369714522655863,78.87586321451435,7.906045989370086e-10,2.389605684842065e-10,1.0997626669040617e-19,True
5.0,148.0,-0.0950001808081164,78.51371477342447,-3.319359438769196e-05,-1.0287232202776734e-05,1.06022047991128e-05,True
5.0,105.0,-0.4931298918501096,53.8700126123965,3.9821532671686685e-09,-1.0381514014323753e-08,1.0088887813338264e-16,True
5.0,100.0,-0.4954078703788386,55.276838835335504,-1.0480685671324822e-09,-7.411348577774393e-09,6.774232744653106e-17,True
5.0,95.0,-0.4941595916312017,65.96276191563211,4.4460592978151054e-09,1.1345648898369955e-09,8.46917882809001e-15,True
6.0,20.0,-0.2329014873721262,51.10789849391537,1.629582066802839e-09,-2.565533726166851e-09,5.9534849369128624e-18,True
6.0,25.0,-0.2545547879184678,60.37630601575269,-8.615636260184214e-08,-2.6860499470523656e-08,1.5376814325092544e-13,True
